Fe	Ba	K	Mg	Al	Si	Na	Ca	RI	Id	class
0.0	0.0	0.56	3.53	1.34	72.67	13.33	8.33	1.5161	148.0	3
0.1	0.0	0.56	3.57	1.38	72.7	13.24	8.44	1.5167	149.0	3
0.0	0.0	0.57	3.52	1.35	72.89	12.16	8.53	1.51643	150.0	3
0.17	0.0	0.6	3.45	1.76	72.48	13.14	8.38	1.51665	151.0	3
0.0	0.0	0.0	3.9	0.83	71.5	14.32	9.49	1.52127	152.0	3
0.0	0.0	0.06	3.65	0.65	73.0	13.64	8.93	1.51779	153.0	3
0.0	0.0	0.59	3.4	1.22	72.69	13.42	8.32	1.5161	154.0	3
0.0	0.0	0.61	3.58	1.31	72.61	12.86	8.79	1.51694	155.0	3
0.0	0.0	0.52	3.4	1.26	73.01	13.04	8.58	1.51646	156.0	3
0.0	0.0	0.52	3.39	1.28	72.64	13.41	8.65	1.51655	157.0	3
0.0	0.0	0.11	3.76	0.58	71.79	14.03	9.65	1.52121	158.0	3
0.0	0.0	0.58	3.41	1.52	72.04	13.53	8.79	1.51776	159.0	3
0.09	0.0	0.57	3.36	1.63	71.94	13.5	8.81	1.51796	160.0	3
0.0	0.0	0.56	3.34	1.54	72.14	13.33	8.99	1.51832	161.0	3
0.24	0.15	0.16	3.54	0.75	72.65	13.64	8.89	1.51934	162.0	3
0.37	0.0	0.23	3.78	0.91	71.36	14.19	9.14	1.52211	163.0	3
0.0	2.2	1.68	2.68	3.5	69.89	14.01	5.87	1.51514	164.0	5
0.0	0.0	0.6	1.85	1.86	72.69	12.73	10.09	1.51915	165.0	5
0.0	0.0	0.47	1.88	1.56	72.86	11.56	11.41	1.52171	166.0	5
0.0	0.0	0.58	1.71	1.56	73.44	11.03	11.62	1.52151	167.0	5
0.0	0.0	0.38	0.0	1.65	73.75	12.64	11.53	1.51969	168.0	5
0.0	0.0	0.97	0.0	1.83	73.88	12.86	10.17	1.51666	169.0	5
0.0	0.0	0.47	0.0	1.76	73.03	13.27	11.32	1.51994	170.0	5
0.0	0.0	0.32	0.0	1.58	72.22	13.44	12.24	1.52369	171.0	5
0.0	0.0	6.21	0.0	3.04	70.48	13.02	6.96	1.51316	172.0	5
0.0	0.0	6.21	0.0	3.02	70.7	13.0	6.93	1.51321	173.0	5
0.0	0.0	0.33	0.0	1.4	72.25	13.38	12.5	1.52043	174.0	5
0.51	0.24	0.76	1.61	2.17	72.18	12.85	9.7	1.52058	175.0	5
0.28	0.0	0.13	0.33	1.51	73.39	12.97	11.27	1.52119	176.0	5
0.0	0.0	0.0	2.39	1.56	72.37	14.0	9.57	1.51905	177.0	6
0.0	0.0	0.0	2.41	1.19	72.76	13.79	9.77	1.51937	178.0	6
0.0	0.0	0.0	2.24	1.62	72.38	14.46	9.26	1.51829	179.0	6
0.0	0.0	0.0	2.19	1.66	72.67	14.09	9.32	1.51852	180.0	6
0.0	0.0	0.0	1.74	1.54	74.55	14.4	7.59	1.51299	181.0	6
0.0	0.0	0.0	0.78	1.74	72.5	14.99	9.95	1.51888	182.0	6
0.0	0.0	0.0	0.0	2.09	72.74	14.15	10.88	1.51916	183.0	6
0.0	0.0	0.0	0.0	0.56	73.48	14.56	11.22	1.51969	184.0	6
0.0	0.0	0.0	0.0	0.34	75.41	17.38	6.65	1.51115	185.0	6
0.0	1.19	1.76	3.2	1.81	72.81	13.69	5.43	1.51131	186.0	7
0.0	1.63	1.46	3.26	2.22	71.25	14.32	5.79	1.51838	187.0	7
0.0	0.0	0.6	3.34	1.23	72.38	13.44	8.83	1.52315	188.0	7
0.0	0.0	0.76	2.2	2.06	70.26	14.86	9.76	1.52247	189.0	7
0.0	1.68	0.31	1.83	1.31	70.43	15.79	8.61	1.52365	190.0	7
0.0	0.76	0.0	1.78	1.79	73.1	13.88	8.67	1.51613	191.0	7
0.09	0.64	0.0	0.0	2.38	73.28	14.85	8.76	1.51602	192.0	7
0.09	0.4	0.04	0.0	2.79	73.46	14.2	9.04	1.51623	193.0	7
0.08	1.59	0.0	0.0	2.0	73.02	14.75	8.53	1.51719	194.0	7
0.07	1.57	0.0	0.0	1.98	73.29	14.56	8.52	1.51683	195.0	7
0.05	0.61	0.08	0.0	2.68	73.39	14.14	9.07	1.51545	196.0	7
0.01	0.81	0.14	0.0	2.54	73.23	13.87	9.41	1.51556	197.0	7
0.0	0.66	0.0	0.0	2.34	73.28	14.7	8.95	1.51727	198.0	7
0.0	0.64	0.04	0.0	2.66	73.1	14.38	9.08	1.51531	199.0	7
0.0	0.53	0.05	0.0	2.51	73.05	15.01	8.83	1.51609	200.0	7
0.0	0.63	0.0	0.0	2.25	73.5	15.15	8.34	1.51508	201.0	7
0.0	0.0	2.7	0.0	1.19	75.18	11.95	8.93	1.51653	202.0	7
0.0	0.56	0.0	0.0	2.42	73.72	14.85	8.39	1.51514	203.0	7
0.0	1.71	0.0	0.0	1.99	73.11	14.8	8.28	1.51658	204.0	7
0.0	0.67	0.0	0.0	2.27	73.3	14.95	8.71	1.51617	205.0	7
0.0	1.55	0.0	0.0	1.8	72.99	14.95	8.61	1.51732	206.0	7
0.0	1.38	0.0	0.0	1.87	73.11	14.94	8.67	1.51645	207.0	7
0.0	2.88	1.41	0.0	1.82	72.86	14.39	6.47	1.51831	208.0	7
0.0	0.54	0.0	0.0	2.74	72.85	14.37	9.45	1.5164	209.0	7
0.0	1.06	0.08	0.0	2.88	72.61	14.14	9.18	1.51623	210.0	7
0.0	1.59	0.0	0.0	1.99	73.06	14.92	8.4	1.51685	211.0	7
0.0	1.64	0.0	0.0	2.02	73.42	14.36	8.44	1.52065	212.0	7
0.0	1.57	0.0	0.0	1.94	73.61	14.38	8.48	1.51651	213.0	7
0.0	1.67	0.0	0.0	2.08	73.36	14.23	8.62	1.51711	214.0	7
