engine_location	fuel_type	aspiration	drive_wheels	num_of_doors	body_style	engine_type	num_of_cylinders	fuel_system	make	normalized_losses	peak_rpm	city_mpg	highway_mpg	compression_ratio	stroke	bore	engine_size	width	height	wheel_base	horsepower	length	curb_weight	price	symboling
front	gas	std	fwd	four	sedan	ohc	four	2bbl	mazda	113	5000.0	31.0	38.0	9.0	3.15	3.03	91.0	64.2	54.1	93.1	68.0	166.8	1945.0	6695.0	1
front	gas	std	fwd	four	sedan	ohc	four	2bbl	mazda	113	5000.0	31.0	38.0	9.0	3.15	3.08	91.0	64.2	54.1	93.1	68.0	166.8	1950.0	7395.0	1
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	mazda	129	4800.0	26.0	32.0	8.6	3.39	3.39	122.0	66.5	53.7	98.8	84.0	177.8	2385.0	8845.0	1
front	gas	std	fwd	four	sedan	ohc	four	2bbl	mazda	115	4800.0	26.0	32.0	8.6	3.39	3.39	122.0	66.5	55.5	98.8	84.0	177.8	2410.0	8495.0	0
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	mazda	129	4800.0	26.0	32.0	8.6	3.39	3.39	122.0	66.5	53.7	98.8	84.0	177.8	2385.0	10595.0	1
front	gas	std	fwd	four	sedan	ohc	four	2bbl	mazda	115	4800.0	26.0	32.0	8.6	3.39	3.39	122.0	66.5	55.5	98.8	84.0	177.8	2410.0	10245.0	0
front	diesel	std	fwd	?	sedan	ohc	four	idi	mazda	?	4650.0	36.0	42.0	22.7	3.39	3.39	122.0	66.5	55.5	98.8	64.0	177.8	2443.0	10795.0	0
front	gas	std	fwd	four	hatchback	ohc	four	2bbl	mazda	115	4800.0	26.0	32.0	8.6	3.39	3.39	122.0	66.5	55.5	98.8	84.0	177.8	2425.0	11245.0	0
front	gas	std	rwd	four	sedan	ohc	four	mpfi	mazda	118	5000.0	19.0	27.0	8.0	3.16	3.76	140.0	66.1	54.4	104.9	120.0	175.0	2670.0	18280.0	0
front	diesel	std	rwd	four	sedan	ohc	four	idi	mazda	?	4200.0	31.0	39.0	22.0	3.64	3.43	134.0	66.1	54.4	104.9	72.0	175.0	2700.0	18344.0	0
front	diesel	turbo	rwd	four	sedan	ohc	five	idi	mercedes-benz	93	4350.0	22.0	25.0	21.5	3.64	3.58	183.0	70.3	56.5	110.0	123.0	190.9	3515.0	25552.0	-1
front	diesel	turbo	rwd	four	wagon	ohc	five	idi	mercedes-benz	93	4350.0	22.0	25.0	21.5	3.64	3.58	183.0	70.3	58.7	110.0	123.0	190.9	3750.0	28248.0	-1
front	diesel	turbo	rwd	two	hardtop	ohc	five	idi	mercedes-benz	93	4350.0	22.0	25.0	21.5	3.64	3.58	183.0	70.3	54.9	106.7	123.0	187.5	3495.0	28176.0	0
front	diesel	turbo	rwd	four	sedan	ohc	five	idi	mercedes-benz	93	4350.0	22.0	25.0	21.5	3.64	3.58	183.0	71.7	56.3	115.6	123.0	202.6	3770.0	31600.0	-1
front	gas	std	rwd	four	sedan	ohcv	eight	mpfi	mercedes-benz	?	4750.0	16.0	18.0	8.3	3.1	3.46	234.0	71.7	56.5	115.6	155.0	202.6	3740.0	34184.0	-1
front	gas	std	rwd	two	convertible	ohcv	eight	mpfi	mercedes-benz	142	4750.0	16.0	18.0	8.3	3.1	3.46	234.0	70.5	50.8	96.6	155.0	180.3	3685.0	35056.0	3
front	gas	std	rwd	four	sedan	ohcv	eight	mpfi	mercedes-benz	?	4500.0	14.0	16.0	8.0	3.35	3.8	308.0	71.7	56.7	120.9	184.0	208.1	3900.0	40960.0	0
front	gas	std	rwd	two	hardtop	ohcv	eight	mpfi	mercedes-benz	?	4500.0	14.0	16.0	8.0	3.35	3.8	304.0	72.0	55.4	112.0	184.0	199.2	3715.0	45400.0	1
front	gas	turbo	rwd	two	hatchback	ohc	four	mpfi	mercury	?	5000.0	19.0	24.0	8.0	3.12	3.78	140.0	68.0	54.8	102.7	175.0	178.4	2910.0	16503.0	1
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	mitsubishi	161	5500.0	37.0	41.0	9.4	3.23	2.97	92.0	64.4	50.8	93.7	68.0	157.3	1918.0	5389.0	2
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	mitsubishi	161	5500.0	31.0	38.0	9.4	3.23	2.97	92.0	64.4	50.8	93.7	68.0	157.3	1944.0	6189.0	2
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	mitsubishi	161	5500.0	31.0	38.0	9.4	3.23	2.97	92.0	64.4	50.8	93.7	68.0	157.3	2004.0	6669.0	2
front	gas	turbo	fwd	two	hatchback	ohc	four	spdi	mitsubishi	161	5500.0	24.0	30.0	7.6	3.39	3.03	98.0	63.8	50.8	93.0	102.0	157.3	2145.0	7689.0	1
front	gas	turbo	fwd	two	hatchback	ohc	four	spdi	mitsubishi	153	5500.0	23.0	30.0	7.5	3.46	3.17	110.0	65.4	49.4	96.3	116.0	173.0	2370.0	9959.0	3
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	mitsubishi	153	5000.0	25.0	32.0	8.5	3.46	3.35	122.0	65.4	49.4	96.3	88.0	173.0	2328.0	8499.0	3
front	gas	turbo	fwd	two	hatchback	ohc	four	spdi	mitsubishi	?	5000.0	19.0	24.0	7.0	3.86	3.58	156.0	66.3	50.2	95.9	145.0	173.2	2833.0	12629.0	3
front	gas	turbo	fwd	two	hatchback	ohc	four	spdi	mitsubishi	?	5000.0	19.0	24.0	7.0	3.86	3.59	156.0	66.3	50.2	95.9	145.0	173.2	2921.0	14869.0	3
front	gas	turbo	fwd	two	hatchback	ohc	four	spdi	mitsubishi	?	5000.0	19.0	24.0	7.0	3.86	3.59	156.0	66.3	50.2	95.9	145.0	173.2	2926.0	14489.0	3
front	gas	std	fwd	four	sedan	ohc	four	2bbl	mitsubishi	125	5000.0	25.0	32.0	8.5	3.46	3.35	122.0	65.4	51.6	96.3	88.0	172.4	2365.0	6989.0	1
front	gas	std	fwd	four	sedan	ohc	four	2bbl	mitsubishi	125	5000.0	25.0	32.0	8.5	3.46	3.35	122.0	65.4	51.6	96.3	88.0	172.4	2405.0	8189.0	1
front	gas	turbo	fwd	four	sedan	ohc	four	spdi	mitsubishi	125	5500.0	23.0	30.0	7.5	3.46	3.17	110.0	65.4	51.6	96.3	116.0	172.4	2403.0	9279.0	1
front	gas	std	fwd	four	sedan	ohc	four	spdi	mitsubishi	137	5500.0	23.0	30.0	7.5	3.46	3.17	110.0	65.4	51.6	96.3	116.0	172.4	2403.0	9279.0	-1
front	gas	std	fwd	two	sedan	ohc	four	2bbl	nissan	128	5200.0	31.0	37.0	9.4	3.29	3.15	97.0	63.8	54.5	94.5	69.0	165.3	1889.0	5499.0	1
front	diesel	std	fwd	two	sedan	ohc	four	idi	nissan	128	4800.0	45.0	50.0	21.9	3.47	2.99	103.0	63.8	54.5	94.5	55.0	165.3	2017.0	7099.0	1
front	gas	std	fwd	two	sedan	ohc	four	2bbl	nissan	128	5200.0	31.0	37.0	9.4	3.29	3.15	97.0	63.8	54.5	94.5	69.0	165.3	1918.0	6649.0	1
front	gas	std	fwd	four	sedan	ohc	four	2bbl	nissan	122	5200.0	31.0	37.0	9.4	3.29	3.15	97.0	63.8	54.5	94.5	69.0	165.3	1938.0	6849.0	1
front	gas	std	fwd	four	wagon	ohc	four	2bbl	nissan	103	5200.0	31.0	37.0	9.4	3.29	3.15	97.0	63.8	53.5	94.5	69.0	170.2	2024.0	7349.0	1
front	gas	std	fwd	two	sedan	ohc	four	2bbl	nissan	128	5200.0	31.0	37.0	9.4	3.29	3.15	97.0	63.8	54.5	94.5	69.0	165.3	1951.0	7299.0	1
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	nissan	128	5200.0	31.0	37.0	9.4	3.29	3.15	97.0	63.8	53.3	94.5	69.0	165.6	2028.0	7799.0	1
front	gas	std	fwd	four	sedan	ohc	four	2bbl	nissan	122	5200.0	31.0	37.0	9.4	3.29	3.15	97.0	63.8	54.5	94.5	69.0	165.3	1971.0	7499.0	1
front	gas	std	fwd	four	wagon	ohc	four	2bbl	nissan	103	5200.0	31.0	37.0	9.4	3.29	3.15	97.0	63.8	53.5	94.5	69.0	170.2	2037.0	7999.0	1
front	gas	std	fwd	two	hardtop	ohc	four	2bbl	nissan	168	5200.0	31.0	37.0	9.4	3.29	3.15	97.0	63.8	53.3	95.1	69.0	162.4	2008.0	8249.0	2
front	gas	std	fwd	four	hatchback	ohc	four	2bbl	nissan	106	5200.0	27.0	34.0	8.5	3.47	3.33	120.0	65.2	54.7	97.2	97.0	173.4	2324.0	8949.0	0
front	gas	std	fwd	four	sedan	ohc	four	2bbl	nissan	106	5200.0	27.0	34.0	8.5	3.47	3.33	120.0	65.2	54.7	97.2	97.0	173.4	2302.0	9549.0	0
front	gas	std	fwd	four	sedan	ohcv	six	mpfi	nissan	128	5200.0	17.0	22.0	9.0	3.27	3.43	181.0	66.5	55.1	100.4	152.0	181.7	3095.0	13499.0	0
front	gas	std	fwd	four	wagon	ohcv	six	mpfi	nissan	108	5200.0	17.0	22.0	9.0	3.27	3.43	181.0	66.5	56.1	100.4	152.0	184.6	3296.0	14399.0	0
front	gas	std	fwd	four	sedan	ohcv	six	mpfi	nissan	108	5200.0	19.0	25.0	9.0	3.27	3.43	181.0	66.5	55.1	100.4	152.0	184.6	3060.0	13499.0	0
front	gas	std	rwd	two	hatchback	ohcv	six	mpfi	nissan	194	5200.0	19.0	25.0	9.0	3.27	3.43	181.0	67.9	49.7	91.3	160.0	170.7	3071.0	17199.0	3
front	gas	turbo	rwd	two	hatchback	ohcv	six	mpfi	nissan	194	5200.0	17.0	23.0	7.8	3.27	3.43	181.0	67.9	49.7	91.3	200.0	170.7	3139.0	19699.0	3
front	gas	std	rwd	two	hatchback	ohcv	six	mpfi	nissan	231	5200.0	19.0	25.0	9.0	3.27	3.43	181.0	67.9	49.7	99.2	160.0	178.5	3139.0	18399.0	1
front	gas	std	rwd	four	sedan	l	four	mpfi	peugot	161	5000.0	19.0	24.0	8.4	3.19	3.46	120.0	68.4	56.7	107.9	97.0	186.7	3020.0	11900.0	0
front	diesel	turbo	rwd	four	sedan	l	four	idi	peugot	161	4150.0	28.0	33.0	21.0	3.52	3.7	152.0	68.4	56.7	107.9	95.0	186.7	3197.0	13200.0	0
front	gas	std	rwd	four	wagon	l	four	mpfi	peugot	?	5000.0	19.0	24.0	8.4	3.19	3.46	120.0	68.4	58.7	114.2	97.0	198.9	3230.0	12440.0	0
front	diesel	turbo	rwd	four	wagon	l	four	idi	peugot	?	4150.0	25.0	25.0	21.0	3.52	3.7	152.0	68.4	58.7	114.2	95.0	198.9	3430.0	13860.0	0
front	gas	std	rwd	four	sedan	l	four	mpfi	peugot	161	5000.0	19.0	24.0	8.4	2.19	3.46	120.0	68.4	56.7	107.9	95.0	186.7	3075.0	15580.0	0
front	diesel	turbo	rwd	four	sedan	l	four	idi	peugot	161	4150.0	28.0	33.0	21.0	3.52	3.7	152.0	68.4	56.7	107.9	95.0	186.7	3252.0	16900.0	0
front	gas	std	rwd	four	wagon	l	four	mpfi	peugot	?	5000.0	19.0	24.0	8.4	2.19	3.46	120.0	68.4	56.7	114.2	95.0	198.9	3285.0	16695.0	0
front	diesel	turbo	rwd	four	wagon	l	four	idi	peugot	?	4150.0	25.0	25.0	21.0	3.52	3.7	152.0	68.4	58.7	114.2	95.0	198.9	3485.0	17075.0	0
front	gas	std	rwd	four	sedan	l	four	mpfi	peugot	161	5000.0	19.0	24.0	8.4	3.19	3.46	120.0	68.4	56.7	107.9	97.0	186.7	3075.0	16630.0	0
front	diesel	turbo	rwd	four	sedan	l	four	idi	peugot	161	4150.0	28.0	33.0	21.0	3.52	3.7	152.0	68.4	56.7	107.9	95.0	186.7	3252.0	17950.0	0
front	gas	turbo	rwd	four	sedan	l	four	mpfi	peugot	161	5600.0	18.0	24.0	7.0	3.21	3.61	134.0	68.3	56.0	108.0	142.0	186.7	3130.0	18150.0	0
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	plymouth	119	5500.0	37.0	41.0	9.4	3.23	2.97	90.0	63.8	50.8	93.7	68.0	157.3	1918.0	5572.0	1
front	gas	turbo	fwd	two	hatchback	ohc	four	spdi	plymouth	119	5500.0	24.0	30.0	7.6	3.39	3.03	98.0	63.8	50.8	93.7	102.0	157.3	2128.0	7957.0	1
front	gas	std	fwd	four	hatchback	ohc	four	2bbl	plymouth	154	5500.0	31.0	38.0	9.4	3.23	2.97	90.0	63.8	50.6	93.7	68.0	157.3	1967.0	6229.0	1
front	gas	std	fwd	four	sedan	ohc	four	2bbl	plymouth	154	5500.0	31.0	38.0	9.4	3.23	2.97	90.0	63.8	50.8	93.7	68.0	167.3	1989.0	6692.0	1
front	gas	std	fwd	four	sedan	ohc	four	2bbl	plymouth	154	5500.0	31.0	38.0	9.4	3.23	2.97	98.0	63.8	50.8	93.7	68.0	167.3	2191.0	7609.0	1
front	gas	std	fwd	four	wagon	ohc	four	2bbl	plymouth	74	5000.0	24.0	30.0	8.5	3.46	3.35	122.0	64.6	59.8	103.3	88.0	174.6	2535.0	8921.0	-1
front	gas	turbo	rwd	two	hatchback	ohc	four	spdi	plymouth	?	5000.0	19.0	24.0	7.0	3.86	3.59	156.0	66.3	50.2	95.9	145.0	173.2	2818.0	12764.0	3
front	gas	std	rwd	two	hatchback	ohc	four	mpfi	porsche	186	5500.0	19.0	27.0	9.5	3.11	3.94	151.0	68.3	50.2	94.5	143.0	168.9	2778.0	22018.0	3
rear	gas	std	rwd	two	hardtop	ohcf	six	mpfi	porsche	?	5900.0	17.0	25.0	9.5	2.9	3.74	194.0	65.0	51.6	89.5	207.0	168.9	2756.0	32528.0	3
rear	gas	std	rwd	two	hardtop	ohcf	six	mpfi	porsche	?	5900.0	17.0	25.0	9.5	2.9	3.74	194.0	65.0	51.6	89.5	207.0	168.9	2756.0	34028.0	3
rear	gas	std	rwd	two	convertible	ohcf	six	mpfi	porsche	?	5900.0	17.0	25.0	9.5	2.9	3.74	194.0	65.0	51.6	89.5	207.0	168.9	2800.0	37028.0	3
front	gas	std	fwd	two	hatchback	ohc	four	mpfi	saab	150	5250.0	21.0	28.0	9.31	3.07	3.54	121.0	66.5	56.1	99.1	110.0	186.6	2658.0	11850.0	3
front	gas	std	fwd	four	sedan	ohc	four	mpfi	saab	104	5250.0	21.0	28.0	9.3	3.07	3.54	121.0	66.5	56.1	99.1	110.0	186.6	2695.0	12170.0	2
front	gas	std	fwd	two	hatchback	ohc	four	mpfi	saab	150	5250.0	21.0	28.0	9.3	2.07	2.54	121.0	66.5	56.1	99.1	110.0	186.6	2707.0	15040.0	3
front	gas	std	fwd	four	sedan	ohc	four	mpfi	saab	104	5250.0	21.0	28.0	9.3	3.07	3.54	121.0	66.5	56.1	99.1	110.0	186.6	2758.0	15510.0	2
front	gas	turbo	fwd	two	hatchback	dohc	four	mpfi	saab	150	5500.0	19.0	26.0	9.0	3.07	3.54	121.0	66.5	56.1	99.1	160.0	186.6	2808.0	18150.0	3
front	gas	turbo	fwd	four	sedan	dohc	four	mpfi	saab	104	5500.0	19.0	26.0	9.0	3.07	3.54	121.0	66.5	56.1	99.1	160.0	186.6	2847.0	18620.0	2
front	gas	std	fwd	two	hatchback	ohcf	four	2bbl	subaru	83	4900.0	31.0	36.0	9.0	2.36	3.62	97.0	63.4	53.7	93.7	69.0	156.9	2050.0	5118.0	2
front	gas	std	fwd	two	hatchback	ohcf	four	2bbl	subaru	83	4400.0	26.0	31.0	8.7	2.64	3.62	108.0	63.6	53.7	93.7	73.0	157.9	2120.0	7053.0	2
front	gas	std	4wd	two	hatchback	ohcf	four	2bbl	subaru	83	4400.0	26.0	31.0	8.7	2.64	3.62	108.0	63.8	55.7	93.3	73.0	157.3	2240.0	7603.0	2
front	gas	std	fwd	four	sedan	ohcf	four	2bbl	subaru	102	4800.0	32.0	37.0	9.5	2.64	3.62	108.0	65.4	52.5	97.2	82.0	172.0	2145.0	7126.0	0
front	gas	std	fwd	four	sedan	ohcf	four	2bbl	subaru	102	4400.0	28.0	33.0	9.5	2.64	3.62	108.0	65.4	52.5	97.2	82.0	172.0	2190.0	7775.0	0
front	gas	std	fwd	four	sedan	ohcf	four	mpfi	subaru	102	5200.0	26.0	32.0	9.0	2.64	3.62	108.0	65.4	52.5	97.2	94.0	172.0	2340.0	9960.0	0
front	gas	std	4wd	four	sedan	ohcf	four	2bbl	subaru	102	4800.0	24.0	25.0	9.0	2.64	3.62	108.0	65.4	54.3	97.0	82.0	172.0	2385.0	9233.0	0
front	gas	turbo	4wd	four	sedan	ohcf	four	mpfi	subaru	102	4800.0	24.0	29.0	7.7	2.64	3.62	108.0	65.4	54.3	97.0	111.0	172.0	2510.0	11259.0	0
front	gas	std	fwd	four	wagon	ohcf	four	2bbl	subaru	89	4800.0	28.0	32.0	9.0	2.64	3.62	108.0	65.4	53.0	97.0	82.0	173.5	2290.0	7463.0	0
front	gas	std	fwd	four	wagon	ohcf	four	mpfi	subaru	89	5200.0	25.0	31.0	9.0	2.64	3.62	108.0	65.4	53.0	97.0	94.0	173.5	2455.0	10198.0	0
front	gas	std	4wd	four	wagon	ohcf	four	2bbl	subaru	85	4800.0	23.0	29.0	9.0	2.64	3.62	108.0	65.4	54.9	96.9	82.0	173.6	2420.0	8013.0	0
front	gas	turbo	4wd	four	wagon	ohcf	four	mpfi	subaru	85	4800.0	23.0	23.0	7.7	2.64	3.62	108.0	65.4	54.9	96.9	111.0	173.6	2650.0	11694.0	0
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	toyota	87	4800.0	35.0	39.0	9.0	3.03	3.05	92.0	63.6	54.5	95.7	62.0	158.7	1985.0	5348.0	1
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	toyota	87	4800.0	31.0	38.0	9.0	3.03	3.05	92.0	63.6	54.5	95.7	62.0	158.7	2040.0	6338.0	1
