veil_type	bruises	gill_size	gill_spacing	gill_attachment	stalk_shape	ring_number	stalk_surface_below_ring	cap_surface	stalk_surface_above_ring	veil_color	stalk_root	ring_type	population	cap_shape	habitat	odor	stalk_color_above_ring	spore_print_color	stalk_color_below_ring	cap_color	gill_color	edible
p	t	n	c	f	e	o	s	y	s	w	e	p	v	x	u	p	w	n	w	n	w	p
p	t	b	c	f	e	o	y	y	s	w	r	p	y	f	g	a	w	n	w	n	n	e
p	f	b	w	f	t	o	s	s	f	w	e	e	s	x	g	n	w	n	w	n	k	e
p	t	n	c	f	e	o	s	y	s	w	e	p	s	x	g	p	w	k	w	w	w	p
p	f	n	c	f	e	o	s	f	s	w	e	p	y	f	u	n	w	n	w	g	n	e
p	f	b	w	f	t	o	s	f	s	w	e	e	s	x	g	n	w	n	w	g	n	e
p	t	b	c	f	e	o	y	y	s	w	r	p	s	x	g	l	w	k	w	y	w	e
p	f	b	w	f	t	o	s	s	s	w	e	e	s	x	g	n	w	k	w	n	k	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	b	g	a	w	k	w	w	w	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	x	g	l	w	n	w	w	n	e
p	t	b	c	f	e	o	y	y	s	w	r	p	y	f	g	l	w	k	w	n	w	e
p	f	n	c	f	e	o	s	f	s	w	e	p	v	s	u	n	w	n	w	n	n	e
p	f	n	c	f	e	o	s	f	s	w	e	p	y	x	u	n	w	n	w	n	n	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	b	g	l	w	k	w	w	k	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	x	g	a	w	k	w	y	g	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	x	m	l	w	k	w	y	g	e
p	f	b	w	f	t	o	s	s	s	w	e	e	a	x	g	n	w	n	w	n	n	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	x	g	a	w	n	w	w	g	e
p	t	b	c	f	e	o	y	y	s	w	r	p	s	f	g	l	w	n	w	n	p	e
p	t	b	c	f	e	o	s	s	s	w	c	p	n	x	g	a	w	k	w	y	n	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	b	g	a	w	n	w	w	g	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	x	g	a	w	k	w	w	g	e
p	f	b	w	f	t	o	s	f	f	w	e	e	s	x	g	n	w	k	w	n	p	e
p	t	b	c	f	e	o	s	s	s	w	c	p	n	b	g	l	w	k	w	y	n	e
p	t	b	c	f	e	o	y	y	s	w	r	p	s	f	g	l	w	n	w	y	w	e
p	t	b	c	f	e	o	y	y	s	w	r	p	y	x	p	a	w	k	w	y	n	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	b	g	l	w	n	w	w	g	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	x	m	a	w	k	w	y	n	e
p	t	b	c	f	e	o	y	y	s	w	r	p	y	x	g	a	w	n	w	y	w	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	b	m	l	w	k	w	w	n	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	b	m	a	w	n	w	w	g	e
p	t	b	c	f	e	o	s	s	s	w	c	p	n	x	m	a	w	k	w	y	k	e
p	t	b	c	f	e	o	s	s	s	w	c	p	n	x	g	l	w	k	w	y	w	e
p	f	n	c	f	e	o	s	f	s	w	e	p	y	s	u	n	w	k	w	g	g	e
p	t	n	w	f	t	o	s	f	s	w	b	p	v	x	d	a	w	u	w	w	w	e
p	t	b	c	f	e	o	s	s	s	w	c	p	n	x	m	a	w	k	w	y	n	e
p	t	n	c	f	e	o	s	y	s	w	e	p	v	x	u	p	w	n	w	w	n	p
p	t	b	c	f	e	o	y	y	s	w	r	p	s	x	g	l	w	n	w	y	p	e
p	f	n	c	f	e	o	s	f	s	w	e	p	y	s	u	n	w	n	w	g	p	e
p	t	b	c	f	e	o	y	y	s	w	r	p	y	x	g	l	w	k	w	y	w	e
p	t	n	w	f	t	o	s	s	s	w	b	p	v	x	d	l	w	u	w	y	p	e
p	f	n	c	f	e	o	s	f	s	w	e	p	y	s	u	n	w	n	w	n	k	e
p	t	n	c	f	e	o	s	s	s	w	e	p	v	x	g	p	w	k	w	w	k	p
p	t	b	c	f	e	o	s	y	s	w	c	p	n	x	m	a	w	n	w	w	g	e
p	t	n	c	f	e	o	s	y	s	w	e	p	v	f	g	p	w	k	w	n	p	p
p	f	b	w	f	t	o	s	s	s	w	e	e	a	f	g	n	w	n	w	g	k	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	x	m	l	w	n	w	y	g	e
p	f	b	w	f	t	o	f	s	s	w	e	e	s	x	g	n	w	k	w	w	n	e
p	t	b	c	f	e	o	s	s	s	w	c	p	n	b	g	a	w	n	w	y	w	e
p	f	b	w	f	t	o	s	f	s	w	e	e	a	f	g	n	w	n	w	g	h	e
p	t	b	c	f	e	o	s	s	s	w	c	p	n	x	g	l	w	k	w	w	n	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	b	m	l	w	n	w	w	n	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	b	g	l	w	n	w	w	w	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	b	m	l	w	n	w	w	w	e
p	t	n	w	f	t	o	s	s	s	w	b	p	v	f	d	l	w	u	w	w	w	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	x	m	l	w	k	w	y	g	e
p	t	n	w	f	t	o	s	s	s	w	b	p	v	f	d	a	w	n	w	w	p	e
p	t	n	c	f	e	o	s	y	s	w	e	p	v	x	u	p	w	n	w	w	w	p
p	t	n	w	f	t	o	s	f	s	w	b	p	v	f	d	l	w	n	w	w	w	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	x	g	a	w	n	w	y	n	e
p	t	n	c	f	e	o	s	s	s	w	e	p	v	x	g	p	w	n	w	n	p	p
p	t	b	c	f	e	o	s	s	s	w	c	p	n	b	g	l	w	n	w	y	w	e
p	t	b	c	f	e	o	y	y	s	w	r	p	y	x	p	a	w	k	w	n	w	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	b	m	l	w	k	w	y	g	e
p	f	n	c	f	e	o	s	f	s	w	e	p	v	s	u	n	w	n	w	n	k	e
p	t	b	c	f	e	o	y	y	s	w	r	p	y	f	p	a	w	k	w	n	w	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	x	g	a	w	k	w	y	k	e
p	f	b	w	f	t	o	f	f	f	w	e	e	s	x	g	n	w	k	w	g	k	e
p	f	b	w	f	t	o	f	f	s	w	e	e	a	f	g	n	w	n	w	w	k	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	x	m	l	w	n	w	y	w	e
p	t	b	c	f	e	o	s	s	s	w	c	p	n	b	g	l	w	k	w	y	k	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	b	m	a	w	k	w	w	g	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	x	g	a	w	n	w	w	w	e
p	f	b	w	f	t	o	s	s	f	w	e	e	a	x	g	n	w	n	w	n	p	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	x	g	l	w	n	w	w	g	e
p	f	n	c	f	e	o	s	f	s	w	e	p	v	s	u	n	w	k	w	n	k	e
p	t	n	w	f	t	o	s	s	s	w	b	p	v	x	d	a	w	u	w	w	w	e
p	t	b	c	f	e	o	y	y	s	w	r	p	s	x	g	l	w	k	w	n	w	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	b	g	a	w	n	w	y	k	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	x	g	a	w	n	w	w	k	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	b	m	a	w	k	w	w	n	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	b	g	a	w	k	w	y	g	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	b	m	l	w	k	w	y	g	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	b	g	a	w	k	w	y	n	e
p	f	n	c	f	e	o	s	f	s	w	e	p	y	x	u	n	w	n	w	n	k	e
p	t	b	c	f	e	o	y	y	s	w	r	p	y	f	g	l	w	n	w	n	n	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	x	g	a	w	n	w	w	k	e
p	t	b	c	f	e	o	y	y	s	w	r	p	y	f	p	l	w	n	w	y	w	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	b	g	a	w	n	w	w	w	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	b	m	a	w	k	w	w	w	e
p	t	b	c	f	e	o	y	y	s	w	r	p	y	x	g	l	w	k	w	n	w	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	b	g	a	w	k	w	w	k	e
p	f	n	c	f	e	o	s	f	s	w	e	p	y	x	u	n	w	n	w	g	g	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	b	g	l	w	n	w	y	k	e
p	t	n	w	f	t	o	s	f	s	w	b	p	v	x	d	l	w	u	w	y	n	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	b	g	a	w	k	w	y	w	e
p	t	b	c	f	e	o	y	y	s	w	r	p	s	f	g	l	w	n	w	y	p	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	b	m	l	w	k	w	w	w	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	b	m	a	w	k	w	w	k	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	b	g	a	w	n	w	y	g	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	x	m	l	w	n	w	y	g	e
p	t	b	c	f	e	o	s	s	s	w	c	p	n	b	g	l	w	n	w	y	g	e
p	t	n	c	f	e	o	s	y	s	w	e	p	v	x	u	p	w	n	w	w	p	p
p	f	n	c	f	e	o	s	f	s	w	e	p	y	s	u	n	w	n	w	n	g	e
p	f	n	c	f	e	o	s	f	s	w	e	p	v	f	u	n	w	k	w	n	g	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	x	m	a	w	n	w	y	g	e
p	t	b	c	f	e	o	y	y	s	w	r	p	s	f	p	a	w	k	w	n	p	e
p	t	n	c	f	e	o	s	y	s	w	e	p	s	x	g	p	w	k	w	w	k	p
p	t	b	c	f	e	o	s	s	s	w	c	p	s	b	m	l	w	n	w	w	g	e
p	f	n	c	f	e	o	s	f	s	w	e	p	v	f	u	n	w	k	w	g	p	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	b	g	l	w	n	w	y	g	e
p	t	b	c	f	e	o	y	y	s	w	r	p	y	x	p	a	w	n	w	n	w	e
p	f	b	w	f	t	o	f	f	s	w	e	e	s	x	g	n	w	k	w	w	p	e
p	t	n	w	f	t	o	s	s	s	w	b	p	v	x	d	l	w	n	w	w	w	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	b	m	l	w	n	w	w	w	e
p	t	n	w	f	t	o	s	s	s	w	b	p	v	f	d	a	w	n	w	y	w	e
p	t	b	c	f	e	o	s	s	s	w	c	p	n	x	m	a	w	n	w	y	k	e
p	f	n	c	f	e	o	s	f	s	w	e	p	y	f	u	n	w	n	w	g	g	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	b	g	a	w	k	w	y	n	e
p	t	b	c	f	e	o	s	s	s	w	c	p	n	x	m	l	w	n	w	w	g	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	x	m	l	w	n	w	w	n	e
p	t	n	w	f	t	o	s	s	s	w	b	p	v	f	d	a	w	n	w	w	n	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	x	g	l	w	n	w	y	w	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	b	g	l	w	k	w	w	w	e
p	t	b	c	f	e	o	s	s	s	w	c	p	n	x	g	a	w	k	w	w	g	e
p	f	b	w	f	t	o	s	f	f	w	e	e	s	x	g	n	w	k	w	w	h	e
p	t	b	c	f	e	o	y	y	s	w	r	p	y	f	p	l	w	k	w	n	n	e
p	t	n	c	f	e	o	s	s	s	w	e	p	v	x	u	p	w	n	w	w	k	p
p	t	b	c	f	e	o	s	s	s	w	c	p	n	b	g	a	w	n	w	w	n	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	b	m	a	w	k	w	w	k	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	b	g	l	w	n	w	w	n	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	b	g	a	w	k	w	w	w	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	x	g	a	w	k	w	y	w	e
p	t	b	c	f	e	o	s	s	s	w	c	p	n	b	m	l	w	k	w	w	w	e
p	t	n	w	f	t	o	s	f	s	w	b	p	v	x	d	a	w	n	w	y	n	e
p	f	n	c	f	e	o	s	f	s	w	e	p	y	x	u	n	w	n	w	g	n	e
p	t	b	c	f	e	o	y	y	s	w	r	p	s	f	g	a	w	n	w	y	n	e
p	t	b	c	f	e	o	s	s	s	w	c	p	n	b	m	l	w	k	w	w	n	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	x	g	a	w	k	w	y	g	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	x	g	a	w	k	w	y	k	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	x	g	l	w	n	w	w	w	e
p	f	n	c	f	e	o	s	f	s	w	e	p	v	s	u	n	w	n	w	g	p	e
p	t	b	c	f	e	o	s	s	s	w	c	p	n	x	m	a	w	n	w	w	n	e
p	t	n	c	f	e	o	s	s	s	w	e	p	s	x	g	p	w	k	w	w	k	p
p	t	b	c	f	e	o	y	y	s	w	r	p	s	x	g	a	w	n	w	y	n	e
p	t	n	w	f	t	o	s	f	s	w	b	p	v	f	d	a	w	n	w	w	p	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	x	m	l	w	k	w	w	g	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	b	g	l	w	k	w	w	n	e
p	t	b	c	f	e	o	s	s	s	w	c	p	n	x	g	a	w	n	w	w	g	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	x	g	a	w	n	w	y	g	e
p	t	n	c	f	e	o	s	y	s	w	e	p	v	x	u	p	w	k	w	n	p	p
p	t	b	c	f	e	o	s	s	s	w	c	p	n	b	g	a	w	n	w	y	n	e
p	f	n	c	f	e	o	s	f	s	w	e	p	y	x	u	n	w	k	w	g	n	e
p	t	n	c	f	e	o	s	y	s	w	e	p	s	x	u	p	w	k	w	w	k	p
p	t	b	c	f	e	o	y	y	s	w	r	p	y	x	p	l	w	n	w	y	n	e
p	f	n	c	f	e	o	s	f	s	w	e	p	v	f	u	n	w	k	w	n	k	e
p	t	b	c	f	e	o	s	s	s	w	c	p	n	b	g	l	w	n	w	w	k	e
p	t	n	w	f	t	o	s	f	s	w	b	p	v	x	d	l	w	n	w	w	w	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	x	g	l	w	k	w	w	w	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	b	g	l	w	n	w	y	n	e
p	t	b	c	f	e	o	y	y	s	w	r	p	s	x	g	l	w	k	w	y	n	e
p	t	b	c	f	e	o	y	y	s	w	r	p	s	f	p	a	w	k	w	y	p	e
p	t	b	c	f	e	o	y	y	s	w	r	p	y	f	p	a	w	k	w	y	w	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	x	g	l	w	k	w	w	w	e
p	t	b	c	f	e	o	s	s	s	w	c	p	n	x	m	a	w	n	w	w	w	e
p	t	n	c	f	e	o	s	s	s	w	e	p	v	x	u	p	w	k	w	w	n	p
p	t	n	w	f	t	o	s	f	s	w	b	p	v	f	d	a	w	u	w	w	p	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	x	g	l	w	n	w	w	w	e
p	t	n	w	f	t	o	s	s	s	w	b	p	v	x	d	l	w	u	w	w	p	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	x	m	a	w	k	w	w	n	e
p	t	b	c	f	e	o	y	y	s	w	r	p	y	f	p	l	w	k	w	y	w	e
p	f	b	w	f	t	o	s	s	f	w	e	e	s	x	g	n	w	k	w	n	p	e
p	t	b	c	f	e	o	y	y	s	w	r	p	y	f	g	a	w	n	w	y	w	e
p	t	n	c	f	e	o	s	s	s	w	e	p	s	x	g	p	w	n	w	n	p	p
p	f	n	c	f	e	o	s	f	s	w	e	p	v	s	u	n	w	n	w	n	g	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	b	m	l	w	n	w	y	w	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	b	g	l	w	n	w	w	n	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	b	m	l	w	n	w	w	k	e
p	f	n	c	f	e	o	s	f	s	w	e	p	v	f	u	n	w	n	w	n	k	e
p	t	b	c	f	e	o	s	s	s	w	c	p	n	x	m	a	w	k	w	w	w	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	b	g	l	w	k	w	w	g	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	b	m	a	w	n	w	w	g	e
p	t	b	c	f	e	o	y	y	s	w	r	p	s	f	g	l	w	n	w	n	w	e
p	t	n	c	f	e	o	s	y	s	w	e	p	v	x	g	p	w	k	w	w	k	p
p	t	b	c	f	e	o	s	s	s	w	c	p	n	x	g	a	w	n	w	w	n	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	x	m	a	w	n	w	w	n	e
p	t	n	w	f	t	o	s	f	s	w	b	p	v	f	d	l	w	u	w	w	w	e
p	f	n	c	f	e	o	s	f	s	w	e	p	v	f	u	n	w	k	w	g	g	e
p	f	b	w	f	t	o	s	s	s	w	e	e	a	f	g	n	w	k	w	g	p	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	x	m	a	w	n	w	y	g	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	b	m	a	w	n	w	w	k	e
p	t	n	c	f	e	o	s	y	s	w	e	p	s	f	u	p	w	k	w	n	w	p
p	t	b	c	f	e	o	s	s	s	w	c	p	n	x	m	l	w	k	w	w	n	e
p	t	n	c	f	e	o	s	s	s	w	e	p	v	f	u	p	w	k	w	n	w	p
p	t	b	c	f	e	o	s	y	s	w	c	p	s	x	g	l	w	n	w	w	k	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	x	m	a	w	n	w	y	k	e
p	t	b	c	f	e	o	y	y	s	w	r	p	s	f	p	a	w	n	w	y	n	e
p	t	b	c	f	e	o	y	y	s	w	r	p	s	x	p	a	w	n	w	n	w	e
p	t	b	c	f	e	o	y	y	s	w	r	p	y	f	g	a	w	n	w	n	w	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	x	m	a	w	n	w	w	w	e
p	f	b	w	f	t	o	s	f	s	w	e	e	s	f	g	n	w	k	w	n	h	e
p	t	b	c	f	e	o	s	s	s	w	c	p	n	x	m	l	w	n	w	y	k	e
p	t	n	c	f	e	o	s	y	s	w	e	p	s	x	g	p	w	n	w	w	w	p
p	t	b	c	f	e	o	s	y	s	w	c	p	n	b	m	a	w	n	w	y	n	e
p	f	n	c	f	e	o	s	f	s	w	e	p	v	s	u	n	w	n	w	n	p	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	x	m	l	w	k	w	y	k	e
p	t	b	c	f	e	o	s	y	s	w	c	p	n	b	m	l	w	k	w	w	n	e
p	t	b	c	f	e	o	y	y	s	w	r	p	s	f	g	a	w	k	w	n	n	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	b	m	a	w	k	w	y	g	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	b	g	a	w	k	w	w	g	e
p	t	b	c	f	e	o	y	y	s	w	r	p	y	x	p	l	w	n	w	n	n	e
p	f	n	c	f	e	o	s	f	s	w	e	p	y	f	u	n	w	n	w	g	p	e
p	f	n	c	f	e	o	s	f	s	w	e	p	y	x	u	n	w	k	w	g	g	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	b	g	l	w	k	w	y	n	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	x	m	l	w	k	w	y	n	e
p	t	b	c	f	e	o	s	y	s	w	c	p	s	b	g	l	w	n	w	w	k	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	x	m	a	w	k	w	w	g	e
p	t	b	c	f	e	o	s	s	s	w	c	p	n	b	m	a	w	n	w	y	g	e
p	t	b	c	f	e	o	s	s	s	w	c	p	s	x	m	a	w	k	w	y	k	e
p	f	b	w	f	t	o	f	f	f	w	e	e	s	x	g	n	w	k	w	g	p	e
