h	c	b	a	f	g	e	d	class
9.0	0.105	0.36	0.465	0.107	0.175	0.172	0.431	M
9.0	0.08	0.32	0.435	0.0635	0.105	0.1485	0.3325	I
9.0	0.105	0.35	0.425	0.063	0.165	0.13	0.393	M
11.0	0.125	0.41	0.545	0.146	0.21	0.2975	0.6935	F
11.0	0.115	0.415	0.53	0.1585	0.18	0.233	0.5915	F
11.0	0.135	0.375	0.49	0.102	0.22	0.2555	0.6125	F
10.0	0.105	0.34	0.44	0.0955	0.165	0.1305	0.402	M
9.0	0.15	0.43	0.56	0.172	0.31	0.3465	0.8825	F
8.0	0.085	0.305	0.405	0.0595	0.085	0.1145	0.2605	M
9.0	0.105	0.365	0.47	0.1035	0.14	0.163	0.4205	F
7.0	0.085	0.295	0.385	0.0575	0.085	0.103	0.2535	I
14.0	0.14	0.425	0.515	0.1725	0.255	0.304	0.766	F
6.0	0.075	0.265	0.37	0.051	0.07	0.09	0.214	M
6.0	0.08	0.28	0.36	0.0505	0.07	0.081	0.1755	I
5.0	0.06	0.195	0.27	0.0235	0.03	0.0285	0.073	I
6.0	0.09	0.275	0.375	0.0545	0.07	0.1075	0.238	I
8.0	0.085	0.29	0.385	0.061	0.08	0.112	0.2505	I
19.0	0.16	0.535	0.7	0.2635	0.54	0.63	1.7255	M
18.0	0.165	0.54	0.71	0.261	0.78	0.7665	1.959	M
17.0	0.165	0.48	0.595	0.283	0.41	0.4835	1.262	M
9.0	0.125	0.35	0.44	0.063	0.129	0.175	0.4035	F
7.0	0.09	0.26	0.325	0.036	0.062	0.085	0.1915	F
7.0	0.095	0.26	0.35	0.056	0.068	0.086	0.211	I
7.0	0.065	0.2	0.265	0.0205	0.028	0.04	0.0975	I
8.0	0.115	0.33	0.425	0.081	0.1355	0.1635	0.406	F
7.0	0.08	0.23	0.305	0.0345	0.048	0.0675	0.156	F
9.0	0.09	0.255	0.345	0.0295	0.063	0.094	0.2005	M
9.0	0.11	0.325	0.405	0.063	0.117	0.151	0.3555	F
9.0	0.095	0.285	0.375	0.0575	0.0925	0.096	0.253	M
10.0	0.155	0.445	0.565	0.2055	0.2475	0.341	0.826	F
10.0	0.145	0.45	0.55	0.1435	0.2665	0.295	0.741	F
16.0	0.19	0.52	0.65	0.306	0.4465	0.519	1.3445	M
11.0	0.155	0.455	0.56	0.19	0.2425	0.34	0.797	M
10.0	0.13	0.375	0.475	0.1165	0.17	0.2075	0.5175	M
10.0	0.125	0.38	0.49	0.1075	0.174	0.245	0.549	F
10.0	0.12	0.35	0.46	0.108	0.1565	0.224	0.515	M
9.0	0.08	0.205	0.28	0.039	0.042	0.052	0.127	I
5.0	0.055	0.13	0.175	0.0065	0.0125	0.0105	0.0315	I
4.0	0.095	0.13	0.17	0.008	0.01	0.013	0.03	I
15.0	0.145	0.475	0.59	0.262	0.325	0.4415	1.053	M
9.0	0.185	0.5	0.605	0.2585	0.335	0.469	1.1185	F
10.0	0.19	0.515	0.635	0.305	0.45	0.5065	1.3715	F
10.0	0.16	0.485	0.605	0.2355	0.355	0.37	1.0565	F
12.0	0.135	0.45	0.565	0.1495	0.31	0.387	0.9885	F
10.0	0.13	0.405	0.515	0.131	0.21	0.32	0.722	M
13.0	0.19	0.46	0.575	0.2425	0.34	0.392	0.994	F
16.0	0.215	0.485	0.645	0.2615	0.635	0.546	1.514	M
13.0	0.17	0.455	0.58	0.2135	0.285	0.374	0.9075	F
13.0	0.165	0.46	0.575	0.1785	0.44	0.2985	1.124	F
13.0	0.165	0.465	0.605	0.2475	0.34	0.4215	1.056	M
13.0	0.16	0.485	0.605	0.2575	0.28	0.53	1.222	F
12.0	0.175	0.485	0.61	0.297	0.345	0.544	1.2445	M
18.0	0.21	0.56	0.725	0.398	1.005	0.65	2.141	F
16.0	0.23	0.545	0.65	0.2895	0.815	0.5605	1.752	F
14.0	0.19	0.57	0.725	0.483	0.725	1.0705	2.55	M
20.0	0.175	0.575	0.725	0.4515	0.85	0.765	2.124	F
20.0	0.205	0.57	0.68	0.408	0.65	0.625	1.842	F
14.0	0.22	0.56	0.705	0.3085	0.76	0.8175	1.981	M
12.0	0.175	0.515	0.68	0.409	0.62	0.5125	1.6185	F
14.0	0.215	0.55	0.695	0.541	0.59	0.7125	1.9565	M
7.0	0.145	0.395	0.53	0.169	0.255	0.308	0.775	F
8.0	0.155	0.435	0.525	0.233	0.285	0.486	1.065	M
8.0	0.115	0.405	0.52	0.1845	0.22	0.32	0.776	F
5.0	0.04	0.16	0.235	0.018	0.015	0.0185	0.048	I
7.0	0.09	0.26	0.36	0.037	0.075	0.0645	0.1785	I
5.0	0.06	0.21	0.315	0.0375	0.035	0.06	0.125	I
8.0	0.085	0.245	0.315	0.0475	0.05	0.053	0.1435	I
4.0	0.045	0.16	0.225	0.015	0.015	0.025	0.0465	I
11.0	0.15	0.475	0.58	0.2165	0.35	0.385	0.97	M
14.0	0.18	0.48	0.57	0.2	0.295	0.399	0.9395	M
21.0	0.175	0.51	0.64	0.266	0.57	0.515	1.368	M
10.0	0.16	0.45	0.56	0.268	0.3	0.429	1.0235	F
10.0	0.175	0.475	0.62	0.214	0.325	0.4355	1.0165	F
12.0	0.2	0.51	0.645	0.367	0.46	0.621	1.5675	F
13.0	0.19	0.49	0.62	0.2965	0.355	0.5455	1.218	M
12.0	0.15	0.48	0.63	0.336	0.285	0.392	1.0525	F
10.0	0.185	0.5	0.63	0.3315	0.38	0.54	1.383	F
11.0	0.16	0.48	0.63	0.335	0.315	0.5265	1.199	F
9.0	0.17	0.46	0.585	0.271	0.29	0.365	0.9325	F
13.0	0.18	0.48	0.615	0.2165	0.325	0.4845	1.1595	M
12.0	0.17	0.485	0.61	0.2405	0.36	0.419	1.0225	M
14.0	0.15	0.45	0.58	0.1815	0.36	0.276	0.927	M
8.0	0.085	0.275	0.355	0.06	0.15	0.092	0.22	I
10.0	0.14	0.4	0.51	0.1965	0.195	0.459	0.8145	F
12.0	0.155	0.405	0.5	0.1535	0.245	0.346	0.772	M
11.0	0.15	0.41	0.505	0.145	0.21	0.285	0.644	F
16.0	0.185	0.5	0.64	0.2635	0.465	0.4445	1.3035	M
15.0	0.16	0.45	0.56	0.178	0.26	0.432	0.922	M
10.0	0.185	0.46	0.585	0.213	0.285	0.3635	0.922	M
9.0	0.12	0.345	0.45	0.095	0.135	0.1655	0.4165	F
13.0	0.165	0.4	0.5	0.205	0.285	0.254	0.825	M
12.0	0.145	0.4	0.5	0.1465	0.23	0.234	0.63	F
13.0	0.17	0.435	0.53	0.155	0.275	0.2985	0.8155	F
8.0	0.115	0.335	0.42	0.071	0.12	0.171	0.369	M
9.0	0.14	0.34	0.44	0.1085	0.16	0.186	0.482	F
9.0	0.11	0.3	0.4	0.067	0.12	0.109	0.315	I
8.0	0.11	0.34	0.435	0.085	0.12	0.1495	0.3795	I
13.0	0.17	0.415	0.525	0.1685	0.31	0.2755	0.8325	F
7.0	0.095	0.28	0.37	0.052	0.08	0.122	0.2655	I
10.0	0.145	0.365	0.49	0.1625	0.22	0.1995	0.6345	F
7.0	0.09	0.25	0.335	0.0415	0.06	0.0755	0.181	M
12.0	0.105	0.325	0.415	0.0785	0.12	0.1595	0.38	F
9.0	0.14	0.405	0.5	0.1355	0.205	0.241	0.6155	M
14.0	0.16	0.395	0.485	0.128	0.235	0.2475	0.66	F
10.0	0.14	0.405	0.55	0.1635	0.255	0.244	0.8025	M
8.0	0.13	0.35	0.45	0.111	0.135	0.174	0.46	M
7.0	0.12	0.3	0.405	0.07	0.11	0.1265	0.324	I
10.0	0.135	0.36	0.47	0.115	0.165	0.1665	0.501	M
8.0	0.13	0.305	0.415	0.0755	0.105	0.1305	0.32	F
9.0	0.125	0.325	0.445	0.1125	0.14	0.1785	0.455	F
11.0	0.145	0.35	0.47	0.1235	0.18	0.187	0.5175	F
9.0	0.15	0.375	0.49	0.144	0.19	0.22	0.5755	F
11.0	0.15	0.355	0.445	0.125	0.155	0.181	0.485	F
10.0	0.105	0.38	0.425	0.0785	0.1	0.1285	0.3265	I
9.0	0.135	0.37	0.5	0.1055	0.155	0.1715	0.45	F
7.0	0.125	0.29	0.39	0.082	0.09	0.121	0.3055	F
7.0	0.085	0.27	0.365	0.0485	0.07	0.078	0.205	I
11.0	0.165	0.465	0.58	0.2095	0.35	0.404	1.1015	F
15.0	0.16	0.415	0.53	0.158	0.245	0.2935	0.783	F
13.0	0.135	0.445	0.555	0.1625	0.275	0.336	0.836	M
14.0	0.175	0.44	0.565	0.193	0.325	0.31	0.9025	M
22.0	0.215	0.505	0.625	0.287	0.435	0.496	1.4455	M
7.0	0.075	0.215	0.275	0.029	0.035	0.0485	0.1155	I
12.0	0.135	0.35	0.44	0.083	0.125	0.1815	0.435	I
9.0	0.08	0.225	0.295	0.032	0.04	0.0485	0.124	I
1.0	0.01	0.055	0.075	0.0005	0.0015	0.001	0.002	I
3.0	0.03	0.1	0.13	0.003	0.004	0.0045	0.013	I
3.0	0.03	0.09	0.11	0.002	0.003	0.0025	0.008	I
5.0	0.035	0.12	0.16	0.0045	0.005	0.0075	0.021	I
17.0	0.16	0.425	0.565	0.2185	0.275	0.3495	0.9425	M
5.0	0.07	0.2	0.27	0.0245	0.035	0.034	0.1	I
5.0	0.065	0.175	0.23	0.0105	0.02	0.026	0.0645	I
8.0	0.08	0.23	0.3	0.0265	0.04	0.0435	0.1275	I
8.0	0.085	0.255	0.33	0.039	0.06	0.063	0.1655	I
10.0	0.085	0.26	0.35	0.0345	0.06	0.0705	0.174	I
13.0	0.08	0.245	0.32	0.0325	0.05	0.0635	0.1585	I
9.0	0.085	0.275	0.36	0.0415	0.07	0.0745	0.1975	I
7.0	0.075	0.245	0.305	0.038	0.045	0.0675	0.156	I
7.0	0.11	0.27	0.345	0.0545	0.07	0.082	0.2135	I
7.0	0.105	0.25	0.33	0.035	0.06	0.0655	0.1715	I
13.0	0.18	0.47	0.59	0.2805	0.36	0.4205	1.1235	M
12.0	0.155	0.455	0.595	0.2165	0.3	0.5135	1.0605	F
15.0	0.185	0.46	0.575	0.217	0.345	0.4485	1.094	F
15.0	0.165	0.495	0.6	0.2775	0.34	0.485	1.2415	M
15.0	0.175	0.45	0.56	0.2065	0.37	0.3835	1.011	M
19.0	0.185	0.45	0.56	0.175	0.41	0.3805	1.07	M
10.0	0.16	0.46	0.545	0.1655	0.345	0.341	0.8975	M
15.0	0.17	0.505	0.635	0.297	0.365	0.605	1.415	F
13.0	0.16	0.475	0.59	0.2555	0.295	0.4775	1.1015	F
11.0	0.155	0.475	0.54	0.194	0.26	0.394	0.928	F
12.0	0.125	0.44	0.57	0.1725	0.27	0.3675	0.865	F
11.0	0.165	0.42	0.53	0.239	0.245	0.319	0.8945	M
4.0	0.06	0.195	0.245	0.0245	0.026	0.0445	0.095	I
6.0	0.08	0.2	0.27	0.028	0.04	0.0465	0.1205	M
11.0	0.13	0.38	0.46	0.1525	0.16	0.3	0.639	F
14.0	0.15	0.45	0.52	0.186	0.235	0.3615	0.895	M
8.0	0.11	0.275	0.35	0.0635	0.0905	0.1225	0.2925	M
9.0	0.15	0.39	0.47	0.0885	0.255	0.2185	0.6355	M
13.0	0.125	0.36	0.45	0.1	0.17	0.2035	0.4995	F
22.0	0.215	0.525	0.64	0.2855	0.55	0.4535	1.779	F
16.0	0.2	0.5	0.59	0.2705	0.37	0.412	1.187	M
14.0	0.205	0.485	0.62	0.2505	0.385	0.3875	1.219	M
15.0	0.225	0.505	0.63	0.3335	0.45	0.56	1.525	M
13.0	0.155	0.515	0.63	0.197	0.41	0.4105	1.259	M
22.0	0.215	0.54	0.655	0.327	0.585	0.7425	1.844	M
12.0	0.185	0.53	0.66	0.245	0.49	0.493	1.3485	F
18.0	0.24	0.5	0.61	0.3345	0.69	0.532	1.642	M
20.0	0.205	0.525	0.635	0.3115	0.43	0.55	1.484	M
11.0	0.135	0.425	0.515	0.1605	0.25	0.2665	0.712	F
15.0	0.185	0.415	0.535	0.1585	0.3	0.314	0.8415	F
7.0	0.105	0.285	0.36	0.057	0.075	0.0915	0.2415	I
9.0	0.12	0.355	0.455	0.104	0.15	0.177	0.4495	F
14.0	0.14	0.395	0.485	0.127	0.225	0.2285	0.6295	M
14.0	0.175	0.38	0.515	0.158	0.31	0.325	0.9565	M
10.0	0.17	0.415	0.535	0.1965	0.285	0.295	0.879	F
10.0	0.155	0.435	0.53	0.1595	0.205	0.288	0.699	M
17.0	0.155	0.4	0.495	0.1325	0.205	0.242	0.6445	F
9.0	0.125	0.355	0.44	0.0815	0.19	0.132	0.4775	M
10.0	0.16	0.435	0.535	0.1795	0.24	0.3155	0.8105	F
17.0	0.18	0.435	0.54	0.226	0.325	0.3835	0.996	M
12.0	0.21	0.505	0.565	0.279	0.355	0.501	1.2765	F
15.0	0.165	0.475	0.61	0.2205	0.315	0.428	1.116	M
19.0	0.175	0.455	0.565	0.207	0.35	0.342	1.013	F
26.0	0.195	0.495	0.6	0.19	0.375	0.384	1.0575	M
6.0	0.085	0.215	0.295	0.034	0.04	0.049	0.128	I
6.0	0.075	0.205	0.275	0.0285	0.035	0.045	0.1105	I
4.0	0.085	0.21	0.28	0.0295	0.03	0.039	0.1065	I
11.0	0.14	0.395	0.49	0.1275	0.15	0.2215	0.549	M
9.0	0.105	0.28	0.37	0.0585	0.075	0.0905	0.234	M
9.0	0.095	0.305	0.405	0.0895	0.1	0.1455	0.3485	F
13.0	0.175	0.435	0.54	0.174	0.335	0.322	0.892	F
8.0	0.1	0.28	0.37	0.0595	0.074	0.1065	0.252	M
6.0	0.1	0.27	0.36	0.0495	0.0715	0.0885	0.217	M
10.0	0.13	0.36	0.47	0.114	0.15	0.182	0.472	F
4.0	0.06	0.145	0.2	0.0095	0.011	0.0125	0.037	I
3.0	0.03	0.12	0.165	0.005	0.005	0.007	0.0215	I
13.0	0.24	0.515	0.645	0.369	0.535	0.471	1.5415	M
14.0	0.125	0.41	0.55	0.1635	0.195	0.2505	0.7605	M
10.0	0.145	0.435	0.57	0.2355	0.275	0.3925	0.9055	M
21.0	0.19	0.485	0.63	0.3055	0.39	0.4635	1.2435	F
14.0	0.14	0.44	0.56	0.2045	0.265	0.443	0.971	M
19.0	0.195	0.455	0.595	0.3235	0.345	0.4595	1.3305	M
23.0	0.2	0.47	0.62	0.27	0.435	0.381	1.2255	F
23.0	0.175	0.485	0.63	0.2945	0.46	0.4335	1.3	M
8.0	0.11	0.355	0.45	0.067	0.14	0.194	0.4585	I
14.0	0.19	0.535	0.635	0.2475	0.39	0.576	1.242	F
10.0	0.1	0.35	0.45	0.1015	0.12	0.1465	0.3675	M
18.0	0.155	0.455	0.58	0.1385	0.32	0.315	0.8365	F
6.0	0.095	0.255	0.33	0.0255	0.06	0.066	0.172	I
5.0	0.06	0.21	0.265	0.022	0.03	0.0425	0.0965	I
4.0	0.04	0.145	0.19	0.0065	0.015	0.0165	0.038	I
11.0	0.1	0.31	0.385	0.075	0.1	0.1065	0.2845	M
5.0	0.07	0.205	0.265	0.041	0.035	0.039	0.1055	I
7.0	0.105	0.265	0.335	0.056	0.075	0.0935	0.222	M
7.0	0.09	0.275	0.355	0.053	0.08	0.097	0.251	I
7.0	0.1	0.255	0.32	0.0415	0.065	0.073	0.1755	I
12.0	0.13	0.4	0.51	0.1665	0.205	0.27	0.6435	M
8.0	0.105	0.295	0.36	0.053	0.095	0.0865	0.241	M
8.0	0.09	0.28	0.36	0.04	0.09	0.0885	0.2255	I
12.0	0.155	0.38	0.5	0.161	0.2	0.2135	0.5955	M
8.0	0.12	0.325	0.4	0.0565	0.095	0.134	0.3185	F
5.0	0.08	0.22	0.3	0.042	0.035	0.0475	0.121	I
5.0	0.04	0.175	0.235	0.015	0.02	0.0335	0.0705	I
16.0	0.195	0.6	0.74	0.4085	0.71	0.598	1.974	F
11.0	0.19	0.465	0.62	0.3175	0.355	0.5705	1.3415	M
14.0	0.19	0.475	0.6	0.2655	0.325	0.403	1.0875	M
16.0	0.185	0.45	0.59	0.276	0.425	0.473	1.283	M
13.0	0.185	0.475	0.62	0.325	0.33	0.6045	1.325	M
15.0	0.195	0.45	0.565	0.2505	0.285	0.406	1.0035	F
14.0	0.145	0.455	0.575	0.2275	0.3	0.581	1.165	M
14.0	0.205	0.51	0.62	0.2565	0.48	0.4775	1.3475	F
12.0	0.185	0.465	0.62	0.3065	0.32	0.579	1.274	M
12.0	0.18	0.375	0.505	0.1495	0.17	0.2325	0.568	F
8.0	0.155	0.425	0.46	0.152	0.24	0.3005	0.746	F
13.0	0.14	0.39	0.49	0.2185	0.18	0.2795	0.707	M
9.0	0.16	0.42	0.525	0.173	0.275	0.2745	0.756	F
6.0	0.08	0.26	0.34	0.0555	0.055	0.08	0.2	I
8.0	0.115	0.305	0.375	0.074	0.09	0.092	0.2715	I
14.0	0.15	0.48	0.61	0.2455	0.28	0.56	1.2	M
8.0	0.185	0.495	0.61	0.2905	0.245	0.536	1.153	F
22.0	0.17	0.45	0.585	0.1635	0.27	0.3325	0.8685	F
12.0	0.14	0.46	0.57	0.2065	0.245	0.4465	0.9535	M
9.0	0.17	0.455	0.58	0.259	0.22	0.408	0.93	M
16.0	0.17	0.515	0.635	0.286	0.34	0.509	1.275	M
20.0	0.205	0.58	0.7	0.49	0.58	0.7415	2.13	M
13.0	0.185	0.525	0.675	0.336	0.395	0.6935	1.587	M
18.0	0.19	0.525	0.645	0.3885	0.395	0.7035	1.8085	F
17.0	0.215	0.585	0.745	0.472	0.7	0.9265	2.499	M
16.0	0.18	0.545	0.685	0.392	0.485	0.7495	1.768	F
18.0	0.18	0.49	0.605	0.287	0.35	0.48	1.227	M
12.0	0.15	0.465	0.59	0.246	0.34	0.392	0.997	F
20.0	0.175	0.525	0.65	0.2995	0.445	0.61	1.4225	F
16.0	0.15	0.48	0.6	0.2705	0.295	0.4085	1.029	F
12.0	0.175	0.5	0.62	0.3015	0.35	0.4985	1.186	F
19.0	0.16	0.515	0.63	0.244	0.355	0.4215	1.016	M
11.0	0.145	0.465	0.58	0.1655	0.265	0.4405	0.887	M
10.0	0.12	0.455	0.58	0.2735	0.265	0.479	1.0735	F
12.0	0.18	0.49	0.63	0.2765	0.315	0.458	1.13	M
17.0	0.215	0.56	0.69	0.299	0.47	0.68	1.719	F
16.0	0.165	0.545	0.65	0.3455	0.415	0.6645	1.566	F
16.0	0.195	0.565	0.66	0.3265	0.5	0.692	1.7605	F
19.0	0.2	0.58	0.68	0.453	0.6	0.585	1.787	F
14.0	0.17	0.575	0.7	0.314	0.42	0.5095	1.31	F
13.0	0.15	0.52	0.685	0.292	0.4	0.4635	1.343	M
20.0	0.195	0.545	0.675	0.3695	0.605	0.6845	1.7345	F
11.0	0.19	0.49	0.63	0.3365	0.285	0.4935	1.1775	M
10.0	0.16	0.45	0.585	0.2875	0.25	0.4995	1.077	F
15.0	0.175	0.465	0.565	0.183	0.37	0.3895	0.995	M
12.0	0.185	0.495	0.61	0.3135	0.33	0.3705	1.1085	F
15.0	0.18	0.47	0.605	0.2805	0.385	0.3755	1.1405	M
10.0	0.145	0.42	0.535	0.189	0.25	0.33	0.791	M
10.0	0.135	0.4	0.485	0.137	0.2	0.313	0.663	M
12.0	0.12	0.375	0.47	0.122	0.195	0.226	0.5565	M
10.0	0.135	0.425	0.545	0.21	0.235	0.373	0.8445	M
9.0	0.105	0.37	0.455	0.1245	0.135	0.216	0.4925	F
12.0	0.155	0.42	0.54	0.152	0.215	0.3515	0.7385	M
10.0	0.135	0.38	0.46	0.1225	0.145	0.207	0.482	M
14.0	0.125	0.42	0.49	0.1435	0.22	0.239	0.609	M
9.0	0.12	0.375	0.465	0.119	0.14	0.222	0.471	I
10.0	0.1	0.325	0.415	0.0595	0.105	0.1535	0.3215	I
10.0	0.125	0.375	0.475	0.115	0.18	0.277	0.593	M
10.0	0.125	0.375	0.47	0.137	0.18	0.252	0.5615	F
