sg;quality;size;#conditions;description
48;0.16000;42;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b > 1.10000
49;0.16000;42;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b > 1.10000
50;0.16000;42;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b > 1.10000
51;0.15778;64;3;b > 0.20000 && b < 1.70000 && b < 1.60000
52;0.15778;64;3;b < 1.90000 && b > 0.20000 && b < 1.55000
53;0.15333;36;4;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.50000
54;0.15333;36;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b < 1.50000
55;0.15333;36;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b < 1.50000
56;0.15333;36;6;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b < 1.60000 && b < 1.45000
57;0.15333;36;6;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b < 1.60000 && b < 1.50000
58;0.15333;36;6;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b < 1.60000 && b < 1.45000
59;0.15333;36;6;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b < 1.60000 && b < 1.50000
60;0.15111;82;2;b < 1.90000 && b > 0.20000
61;0.15111;82;3;b > 0.20000 && b < 2.00000 && b < 1.90000
62;0.14889;38;3;b < 1.90000 && b > 0.40000 && b < 1.50000
63;0.14889;38;3;b > 1.15000 && b < 1.80000 && b < 1.60000
64;0.14889;38;4;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.50000
65;0.14889;38;4;b > 0.20000 && b < 1.70000 && b > 0.40000 && b < 1.50000
66;0.14889;38;4;b < 1.90000 && b > 0.40000 && b < 1.60000 && b > 1.10000
67;0.14889;38;4;b < 1.90000 && b > 0.40000 && b < 1.60000 && b < 1.50000
68;0.14889;38;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.50000
69;0.14889;38;5;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.70000 && b < 1.50000
70;0.14889;38;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.50000
71;0.14889;38;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b < 1.50000
72;0.14889;38;6;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b < 1.60000 && b > 1.10000
73;0.14889;38;6;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b < 1.60000 && b > 1.10000
74;0.14889;38;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b < 1.50000
75;0.14889;38;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b < 1.50000
76;0.14889;38;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b > 1.10000
77;0.14889;38;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b < 1.50000
78;0.14889;38;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b > 1.10000 && b < 1.60000
79;0.14889;38;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b < 1.50000
80;0.14889;38;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b < 1.50000
81;0.14889;38;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b > 1.10000
82;0.14889;38;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b < 1.50000
83;0.14889;38;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b < 1.55000 && b > 1.10000
84;0.14889;38;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b < 1.55000 && b < 1.50000
85;0.14444;64;3;b > 0.20000 && b < 2.00000 && b > 1.00000
86;0.14000;39;4;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 1.20000
87;0.14000;39;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 1.20000
88;0.14000;39;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b > 1.20000
89;0.14000;39;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b > 1.20000
90;0.14000;39;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b > 1.20000
91;0.14000;87;2;b > 0.20000 && b < 2.00000
92;0.13111;61;2;b > 1.15000 && b < 2.00000
93;0.12667;33;2;b > 1.25000 && b < 1.60000
94;0.12444;28;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b < 1.40000
95;0.12444;28;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b < 1.40000
96;0.12222;29;2;b < 1.50000 && b > 1.00000
97;0.12000;51;2;b > 1.25000 && b < 1.85000
98;0.12000;51;3;b < 1.90000 && b > 0.40000 && b > 1.20000
99;0.12000;30;4;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.40000
100;0.12000;30;4;b > 0.20000 && b < 1.70000 && b > 0.40000 && b < 1.35000
101;0.12000;51;4;b < 1.90000 && b > 0.20000 && b > 0.80000 && b > 1.20000
102;0.12000;30;4;b < 1.90000 && b > 0.40000 && b < 1.60000 && b < 1.35000
103;0.12000;30;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.40000
104;0.12000;30;5;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.70000 && b < 1.35000
105;0.12000;30;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.40000
106;0.12000;30;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b < 1.35000
107;0.12000;30;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b < 1.40000
108;0.12000;30;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b < 1.35000
109;0.12000;30;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b < 1.35000
110;0.12000;30;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b < 1.40000
111;0.12000;30;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b < 1.35000
112;0.12000;30;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b < 1.35000
113;0.12000;30;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b < 1.55000 && b < 1.35000
114;0.11778;52;2;b < 1.50000 && b > 0.20000
115;0.11778;52;2;b < 1.50000 && b > 0.25000
116;0.11778;52;3;b > 0.20000 && b < 1.70000 && b < 1.45000
117;0.11778;52;4;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.50000
118;0.11778;52;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.50000
119;0.11778;52;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.50000
120;0.11778;52;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b < 1.50000
121;0.11778;52;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b < 1.50000
122;0.11778;67;2;b > 1.15000 && b < 2.10000
123;0.10889;26;2;b > 1.15000 && b < 1.50000
124;0.10889;56;2;b > 1.25000 && b < 1.95000
125;0.10889;26;3;b > 1.15000 && b < 1.80000 && b < 1.50000
126;0.10889;26;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b > 1.10000 && b < 1.50000
127;0.09556;104;2;b < 1.90000 && b < 1.80000
128;0.08889;44;2;b > 0.20000 && b < 1.40000
129;0.08889;44;3;b < 1.90000 && b > 0.20000 && b < 1.40000
130;0.08889;44;3;b > 0.20000 && b < 2.00000 && b < 1.40000
131;0.08222;113;2;b > 0.20000 && b < 2.50000
132;0.08222;26;3;b > 1.15000 && b < 1.80000 && b > 1.30000
133;0.08222;26;3;b > 1.15000 && b < 1.80000 && b > 1.30000
134;0.08222;26;4;b < 1.90000 && b > 0.40000 && b < 1.80000 && b > 1.30000
135;0.08222;26;4;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 1.30000
136;0.08222;26;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b > 1.30000
137;0.08222;26;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b > 1.30000
138;0.08222;26;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 1.30000
139;0.08222;26;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b > 1.30000
140;0.08222;26;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b > 1.30000
141;0.08222;26;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b > 1.30000
142;0.08222;26;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b > 1.30000
143;0.08222;26;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b > 1.10000 && b > 1.30000
144;0.08222;26;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b > 1.10000 && b > 1.30000
145;0.08222;26;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b > 1.30000
146;0.08222;26;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b > 1.30000
147;0.08222;68;2;b > 1.25000 && b < 2.15000
148;0.08000;93;2;b > 0.20000 && b > 1.05000
149;0.08000;18;2;b > 1.15000 && b < 1.35000
150;0.08000;24;3;b > 0.20000 && b < 1.70000 && b > 1.30000
151;0.08000;18;3;b > 1.15000 && b < 1.80000 && b < 1.40000
152;0.08000;24;4;b > 0.20000 && b < 1.70000 && b > 0.40000 && b > 1.30000
153;0.08000;24;4;b > 0.20000 && b < 1.70000 && b > 0.40000 && b > 1.35000
154;0.08000;24;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b > 1.30000
155;0.08000;24;5;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.70000 && b > 1.30000
156;0.08000;24;5;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.70000 && b > 1.35000
157;0.08000;24;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b > 1.30000
158;0.08000;24;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b > 1.35000
159;0.08000;24;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b > 1.30000
160;0.08000;24;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b > 1.35000
161;0.08000;18;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b > 1.10000 && b < 1.40000
162;0.08000;24;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b > 1.30000
163;0.08000;24;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b > 1.35000
164;0.07556;116;1;b > 0.20000
165;0.07556;116;1;b < 1.90000
166;0.06889;20;4;b < 1.90000 && b > 0.40000 && b < 1.60000 && b > 1.30000
167;0.06889;20;4;b < 1.90000 && b > 0.40000 && b < 1.60000 && b > 1.35000
168;0.06889;20;6;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b < 1.60000 && b > 1.30000
169;0.06889;20;6;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b < 1.60000 && b > 1.30000
170;0.06889;20;6;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b < 1.60000 && b > 1.30000
171;0.06889;20;6;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b < 1.60000 && b > 1.30000
172;0.06889;20;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b > 1.30000
173;0.06889;20;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b > 1.35000
174;0.06889;20;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b > 1.30000
175;0.06889;20;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b > 1.35000
176;0.06889;20;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b < 1.55000 && b > 1.30000
177;0.06889;20;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b < 1.55000 && b > 1.35000
178;0.06667;15;4;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.30000
179;0.06667;15;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b < 1.30000
180;0.06667;15;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b < 1.30000
181;0.06667;15;6;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b < 1.60000 && b < 1.30000
182;0.06667;15;6;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b < 1.60000 && b < 1.30000
183;0.06667;15;6;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b < 1.60000 && b < 1.30000
184;0.06667;15;6;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b < 1.60000 && b < 1.30000
185;0.06667;90;1;b > 1.15000
186;0.06222;38;2;b < 1.90000 && b > 1.30000
187;0.06222;38;3;b < 1.90000 && b > 0.40000 && b > 1.30000
188;0.06222;38;3;b < 1.90000 && b > 0.20000 && b > 1.30000
189;0.06222;38;4;b < 1.90000 && b > 0.20000 && b > 0.80000 && b > 1.30000
190;0.06222;17;3;b < 1.90000 && b > 0.40000 && b < 1.30000
191;0.06222;17;4;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.30000
192;0.06222;17;4;b > 0.20000 && b < 1.70000 && b > 0.40000 && b < 1.30000
193;0.06222;17;4;b < 1.90000 && b > 0.40000 && b < 1.60000 && b < 1.30000
194;0.06222;17;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.30000
195;0.06222;17;5;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.70000 && b < 1.30000
196;0.06222;17;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.30000
197;0.06222;17;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b < 1.30000
198;0.06222;17;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b < 1.30000
199;0.06222;17;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b < 1.30000
200;0.06222;17;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b < 1.30000
201;0.06222;17;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b < 1.30000
202;0.06222;17;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b < 1.30000
203;0.06222;17;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b < 1.30000
204;0.06222;17;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b < 1.55000 && b < 1.30000
205;0.05778;13;2;b > 1.25000 && b < 1.40000
206;0.05333;18;3;b > 1.15000 && b < 1.80000 && b > 1.40000
207;0.05333;18;4;b < 1.90000 && b > 0.40000 && b < 1.80000 && b > 1.40000
208;0.05333;18;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b > 1.40000
209;0.05333;18;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b > 1.40000
210;0.05333;18;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b > 1.40000
211;0.05333;18;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b > 1.40000
212;0.05333;18;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b > 1.10000 && b > 1.40000
213;0.05333;18;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b > 1.40000
214;0.05111;43;3;b > 0.20000 && b < 2.00000 && b > 1.30000
215;0.05111;16;3;b > 0.20000 && b < 1.70000 && b > 1.45000
216;0.05111;16;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b > 1.40000
217;0.04444;10;4;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.20000
218;0.04444;10;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b < 1.15000
219;0.04444;10;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b < 1.15000
220;0.04444;85;1;b > 1.25000
221;0.04222;86;1;b < 1.50000
222;0.04222;86;2;b < 1.90000 && b < 1.50000
223;0.04000;12;3;b < 1.90000 && b > 0.40000 && b < 1.20000
224;0.04000;12;6;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b < 1.60000 && b > 1.45000
225;0.04000;12;6;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b < 1.60000 && b > 1.45000
226;0.03333;30;3;b < 1.90000 && b > 0.20000 && b > 1.40000
227;0.03111;31;3;b > 0.20000 && b < 1.70000 && b < 1.30000
228;0.03111;31;3;b < 1.90000 && b > 0.20000 && b < 1.30000
229;0.03111;31;3;b > 0.20000 && b < 2.00000 && b < 1.30000
230;0.03111;31;4;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.30000
231;0.03111;31;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.30000
232;0.03111;7;6;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b < 1.60000 && b < 1.10000
233;0.03111;7;6;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b < 1.60000 && b < 1.10000
234;0.03111;31;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.30000
235;0.03111;31;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b < 1.30000
236;0.03111;31;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b < 1.30000
237;0.02889;8;2;b < 1.50000 && b > 1.30000
238;0.02667;9;4;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.10000
239;0.02667;9;4;b > 0.20000 && b < 1.70000 && b > 0.40000 && b < 1.10000
240;0.02667;9;4;b < 1.90000 && b > 0.40000 && b < 1.60000 && b < 1.10000
241;0.02667;9;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.10000
242;0.02667;9;5;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.70000 && b < 1.10000
243;0.02667;9;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.10000
244;0.02667;9;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b < 1.10000
245;0.02667;9;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b < 1.10000
246;0.02667;9;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b < 1.10000
247;0.02667;9;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b < 1.10000
248;0.02667;9;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b < 1.10000
249;0.02667;9;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b < 1.10000
